Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Amolops mantzorum,0.1535,0.8422,0.95,178.0,0.002168,0.7918,0.09012,,,,,,
Glandirana rugosa,0.02535,0.773,0.95,52.47,0.002,0.8018,,,,,,,
Hylarana guentheri,0.0251,0.9328,0.95,233.4,0.002,0.8005,,,,,,,
Hylarana erythraea,0.01941,0.9789,0.95,2755.0,0.002,0.8004,,,,,,,
Lithobates catesbeianus,0.03114,0.9556,0.95,150.2,0.002,0.8008,,,,,,,
Lithobates chiricahuensis,0.0229,0.8779,0.95,11.72,0.0004796,0.7985,0.3002,,,,,,
Lithobates clamitans,0.09986,0.8428,0.95,24.42,0.002,0.8013,,,,,,,
Lithobates septentrionalis,0.02203,0.9444,0.95,3225.0,0.002,0.7999,,,,,,,
Lithobates sphenocephalus,0.1023,0.97,0.95,64.08,0.002,0.8017,,,,,,,
Lithobates virgatipes,0.02203,0.9637,0.95,8139.0,0.002,0.8,,,,,,,
Odorrana grahami,0.03054,0.9133,0.95,88.6,0.002,0.8012,,,,,,,
Odorrana margaretae,0.02898,0.8627,0.95,51.45,0.002,0.8018,,,,,,,
Odorrana swinhoana,0.02219,0.463,0.95,19.8,0.002,0.7997,,,,,,,
Pelophylax bedriagae,0.08111,0.6165,0.95,17.33,0.002,0.7997,,,,,,,
Pelophylax caralitanus,0.02736,0.5053,0.95,32.36,0.002,0.802,,,,,,,
Pelophylax chosenicus,0.02128,0.5526,0.95,28.25,0.002,0.8013,,,,,,,
Pelophylax epeiroticus,0.02643,0.5032,0.95,35.61,0.002,0.8018,,,,,,,
Pelophylax esculentus,0.0725,0.4765,0.95,50.0,0.002,0.8017,,,,,,,
Pelophylax lessonae,0.08606,0.5686,0.95,49.42,0.002,0.8018,,,,,,,
Pelophylax nigromaculatus,0.07506,0.6956,0.95,50.22,0.002,0.8022,,,,,,,
Pelophylax ridibundus,0.0694,0.5148,0.95,54.42,0.002,0.8017,,,,,,,
Pelophylax perezi,0.04766,0.6309,0.95,46.71,0.002,0.8017,0.3129,,,,,,
Pelophylax porosus,0.04679,0.6616,0.95,68.42,0.002,0.8006,0.2139,,,,,,
Pelophylax saharicus,0.0889,0.5517,0.95,11.67,0.0004733,0.799,0.2974,,,,,,
Rana amurensis,0.02,0.7605,0.95,84.64,0.002,0.8012,,,,,,,
Rana arvalis,0.02465,0.4661,0.95,898.1,0.002,0.7999,,,,,,,
Rana chensinensis,0.1024,0.6418,0.95,256.5,0.002,0.7999,,,,,,,
Rana dalmatina,0.01887,0.9579,0.95,211.3,0.002,0.8011,,,,,,,
Rana iberica,0.07354,0.9801,0.95,50.48,0.002,0.8016,,,,,,,
Rana italica,0.01952,0.958,0.95,165.1,0.002,0.8009,,,,,,,
Rana latastei,0.1436,0.8534,0.95,68.47,0.002,0.8017,,,,,,,
Rana macrocnemis,0.09482,0.9223,0.95,26.61,0.002,0.8013,,,,,,,
Rana muscosa,0.1428,0.9734,0.95,23.2,0.002,0.8002,,,,,,,
Rana sakuraii,0.02811,0.4872,0.95,51.27,0.002,0.8017,,,,,,,
Rana sauteri,0.02445,0.5468,0.95,44.93,0.002,0.8019,,,,,,,
Rana sierrae,0.02108,0.5098,0.95,42.05,0.002,0.8016,,,,,,,
Rana tagoi,0.05838,0.966,0.95,150.3,0.002,0.8006,,,,,,,
Rana temporaria,0.02162,0.4252,0.95,1133.0,0.002,0.7996,,,,,,,
Sylvirana nigrovittata,0.02223,0.9853,0.95,17.57,0.002,0.7999,,,,,,,
Sphenodon punctatus,0.00753,0.7934,0.95,18.02,0.002,0.8,,,,,,,
Correlophus ciliatus,0.02139,0.8173,0.95,82.25,0.002,0.8015,,,,,,,
Hesperoedura reticulata,0.07519,0.641,0.95,20.2,0.001874,0.8005,,,,,,,
Oedura monilis,0.06155,0.8381,0.95,25.32,0.001883,0.8015,,,,,,,
Coleonyx variegatus,0.03267,0.974,0.95,269.9,0.002,0.8002,,,,,,,
Eublepharis macularius,0.01716,0.6745,0.95,439.1,0.002,0.8011,,,,,,,
Goniurosaurus kuroiwae,0.05272,0.9468,0.95,30.82,0.002,0.7997,,,,,,,
Sphaerodactylus vincenti,0.017,0.7481,0.95,24.32,0.002,0.8012,,,,,,,
Homonota darwinii,0.02132,0.931,0.95,26.54,0.002,0.8013,,,,,,,
Christinus marmoratus,0.01708,0.85,0.95,4.819,0.0004027,0.873,0.6007,,,,,,
Cyrtopodion scabrum,0.02012,0.9911,0.95,882.3,0.002,0.7999,,,,,,,
Gehyra variegata,0.02131,0.6965,0.95,20.8,0.001978,0.8005,,,,,,,
Gekko hokouensis,0.02264,0.8453,0.95,37.81,0.002,0.8019,,,,,,,
Gekko gecko,0.01873,0.6065,0.95,14.43,0.0005447,0.7995,0.2963,,,,,,
Hemidactylus turcicus,0.03852,0.8528,0.95,50.25,0.002,0.809,0.3088,,,,,,
Heteronotia binoei,0.007429,0.8973,0.95,33.0,0.002,0.7931,,,,,,,
Heteronotia binoei 3N1A,0.008164,0.9137,0.95,37.96,0.002,0.794,,,,,,,
Heteronotia binoei 3N1B,0.008384,0.9229,0.95,36.06,0.002,0.7937,,,,,,,
Heteronotia binoei EA6,0.0083,0.9353,0.95,42.44,0.002,0.7971,,,,,,,
Heteronotia binoei SM6,0.00692,0.9045,0.95,35.59,0.002,0.7924,,,,,,,
Carinascincus ocellatus,0.06037,0.8931,0.95,63.74,0.002,0.8016,,,,,,,
Chioninia coctei,0.02529,0.9638,0.95,14.98,0.0013,0.7993,,,,,,,
Ctenotus pantherinus,0.02111,0.9543,0.95,396.3,0.002,0.8002,,,,,,,
Eulamprus quoyii,0.02833,0.8521,0.95,50.3,0.002,0.8018,,,,,,,
Tiliqua rugosa,0.07103,0.9138,0.95,65.96,0.002,0.8076,,,,,,,
Egernia cunninghami,0.01184,0.7625,0.95,84.37,0.002,0.8068,,,,,,,
Egernia striolata,0.01435,0.5949,0.95,34.05,0.002,0.8121,,,,,,,
Liopholis guthega,0.02354,0.5668,0.95,386.4,0.002,0.8001,,,,,,,
Liopholis inornata,0.01966,0.4572,0.95,15.56,0.0003167,0.8135,0.1571,,,,,,
Liopholis striata,0.0431,0.5711,0.95,14.8,0.0002958,0.82,0.153,,,,,,
Chalcides chalcides,0.3571,0.8144,0.95,30.17,0.002,0.8022,,,,,,,
Oligosoma suteri,0.02238,0.854,0.95,12.13,0.0004609,0.7965,0.2994,,,,,,
Oligosoma zelandicum,0.03221,0.6945,0.95,42.57,0.002,0.8018,,,,,,,
Plestiodon chinensis,0.04072,0.6663,0.95,10.55,0.0004042,0.7936,0.303,,,,,,
Plestiodon egregius,0.02145,0.9092,0.95,173.8,0.002013,0.801,,,,,,,
Plestiodon fasciatus,0.01457,0.9379,0.95,1892.0,0.001906,0.8003,,,,,,,
Plestiodon septentrionalis,0.01673,0.7952,0.95,715.0,0.02731,0.8023,0.2988,,,,,,
Scincella lateralis,0.02046,0.9011,0.95,55.05,0.002,0.802,,,,,,,
Varzea bistriata,0.0134,0.6594,0.95,28.39,0.002,0.8021,,,,,,,
Xantusia vigilis,0.0179,0.4119,0.95,26.87,0.001,0.8017,,,,,,,
Gerrhosaurus skoogi,0.01895,0.7886,0.95,16.72,0.002,0.7996,,,,,,,
Gerrhosaurus validus,0.02273,0.9541,0.95,42.06,0.002,0.8052,,,,,,,
Smaug giganteus,0.02515,0.918,0.95,33.06,0.001,0.802,,,,,,,
Anadia bogotensis,0.02218,0.8886,0.95,472.2,0.002,0.8,,,,,,,
Aspidoscelis exsanguis,0.02441,0.9513,0.95,375.7,0.002,0.8006,,,,,,,
Aspidoscelis marmorata,0.02428,0.9495,0.95,72.38,0.002,0.801,,,,,,,
Aspidoscelis neomexicana,0.02416,0.937,0.95,114.2,0.002,0.8011,,,,,,,
Aspidoscelis sexlineatus,0.03891,0.8794,0.95,128.9,0.001861,0.7982,,,,,,,
Aspidoscelis uniparens,0.02198,0.9144,0.95,32.55,0.002,0.8017,,,,,,,
Holcosus quadrilineatus,0.02359,0.9707,0.95,1783.0,0.002,0.8005,,,,,,,
Pholidoscelis exsul,0.03168,0.849,0.95,26.82,0.002,0.8013,,,,,,,
Salvator merianae,0.02523,0.9729,0.95,394.2,0.002,0.8004,,,,,,,
Amphisbaena alba,0.02034,0.8079,0.95,18.24,0.002,0.8,,,,,,,
Gallotia atlantica,0.04004,0.8415,0.95,30.84,0.002,0.8062,,,,,,,
Gallotia bravoana,0.07308,0.706,0.95,19.94,0.002,0.7995,,,,,,,
Gallotia caesaris,0.05172,0.7299,0.95,24.08,0.002,0.804,,,,,,,
Gallotia galloti,0.07183,0.7116,0.95,12.26,0.000452,0.8037,0.2879,,,,,,
Gallotia intermedia,0.07162,0.6257,0.95,19.19,0.002,0.8002,,,,,,,
Gallotia simonyi,0.07543,0.5922,0.95,20.95,0.002,0.8039,,,,,,,
Gallotia stehlini,0.06155,0.5945,0.95,16.75,0.002,0.7996,,,,,,,
Acanthodactylus boskianus,0.0227,0.4722,0.95,59.67,0.002,0.8018,,,,,,,
Acanthodactylus erythrurus,0.02403,0.7863,0.95,49.28,0.002,0.8019,,,,,,,
Acanthodactylus harranensis,0.02745,0.5385,0.95,25.62,0.002,0.8012,,,,,,,
Eremias argus,0.02664,0.4779,0.95,30.07,0.002,0.8015,,,,,,,
Eremias multiocellata,0.02647,0.9438,0.95,88.33,0.002,0.8013,,,,,,,
Eremias suphani,0.02526,0.2045,0.95,20.82,0.002,0.8005,,,,,,,
Pedioplanis husabensis,0.02028,0.978,0.95,20.27,0.002,0.8007,,,,,,,
Anatololacerta anatolica,0.01878,0.4838,0.95,22.02,0.002,0.8008,,,,,,,
Anatololacerta danfordi,0.03306,0.7787,0.95,19.65,0.002,0.8002,,,,,,,
Apathya cappadocica,0.0241,0.2444,0.95,34.6,0.002,0.8017,,,,,,,
Darevskia armeniaca,0.02065,0.5874,0.95,21.11,0.002,0.8006,,,,,,,
Darevskia bendimahiensis,0.02386,0.5501,0.95,63.58,0.002,0.8017,,,,,,,
Darevskia clarkorum,0.02079,0.5794,0.95,21.36,0.001995,0.8007,,,,,,,
Darevskia derjugini,0.02098,0.3998,0.95,25.62,0.002,0.8011,,,,,,,
Darevskia dryada,0.02242,0.5507,0.95,28.88,0.001955,0.8016,,,,,,,
Darevskia parvula,0.02184,0.4443,0.95,30.39,0.002,0.8016,,,,,,,
Darevskia raddei,0.02227,0.6838,0.95,27.04,0.002,0.8016,,,,,,,
Darevskia rudis,0.01968,0.7483,0.95,18.7,0.001943,0.8012,,,,,,,
Darevskia sapphirina,0.02085,0.4757,0.95,23.09,0.002,0.8007,,,,,,,
Darevskia unisexualis,0.02075,0.5438,0.95,21.81,0.002,0.8007,,,,,,,
Darevskia uzzelli,0.02163,0.4481,0.95,28.57,0.002,0.8015,,,,,,,
Darevskia valentini,0.01924,0.5955,0.95,24.8,0.0009926,0.8012,0.3135,,,,,,
Dinarolacerta mosorensis,0.01874,0.4782,0.95,28.98,0.002,0.8016,,,,,,,
Iberolacerta aranica,0.06707,0.7983,0.95,19.93,0.002,0.8002,,,,,,,
Iberolacerta aurelioi,0.05416,0.8045,0.95,20.25,0.002,0.8004,,,,,,,
Iberolacerta bonnali,0.05643,0.7097,0.95,22.43,0.002,0.8006,,,,,,,
Iberolacerta horvathi,0.04874,0.3113,0.95,31.19,0.002,0.8007,,,,,,,
Lacerta agilis,0.04193,0.7253,0.95,38.84,0.002,0.8032,0.4023,,,,,,
Lacerta agilis boemica,0.0302,0.7615,0.95,62.9,0.002,0.8051,0.2478,,,,,,
Lacerta schreiberi,0.04478,0.8052,0.95,31.09,0.002,0.8015,0.5037,,,,,,
Lacerta strigata,0.02264,0.5624,0.95,29.25,0.002,0.8016,,,,,,,
Parvilacerta parva,0.02047,0.6771,0.95,19.63,0.002,0.7991,,,,,,,
Podarcis muralis,0.02175,0.1197,0.95,44.75,0.002,0.8021,0.3497,,,,,,
Podarcis muralis Castanet,0.02701,0.2756,0.95,52.65,0.002,0.8009,0.2976,,,,,,
Podarcis siculus,0.01788,0.412,0.95,25.77,0.002,0.8013,,,,,,,
Podarcis tauricus,0.01908,0.4347,0.95,24.57,0.002,0.8017,,,,,,,
Takydromus hsuehshanensis,0.02773,0.6558,0.95,60.31,0.002,0.8029,,,,,,,
Timon lepidus,0.02507,0.9244,0.95,24.59,0.002,0.801,,,,,,,
Zootoca vivipara,0.02377,0.7251,0.95,344.5,0.001997,0.8008,,,,,,,
Varanus bengalensis,0.1954,0.3738,0.95,4.157,0.0001576,0.7986,0.298,,,,,,
Varanus juxtindicus,0.02022,0.9066,0.95,26.75,0.002,0.8053,,,,,,,
Varanus komodoensis,0.128,0.9712,0.95,17.1,0.002,0.7975,,,,,,,
Varanus niloticus,0.02559,0.6867,0.95,25.87,0.002,0.8011,,,,,,,
Heloderma suspectum,0.02973,0.8968,0.95,185.9,0.002,0.8007,,,,,,,
Xenosaurus grandis,0.01081,0.6164,0.95,20.26,0.002,0.8009,,,,,,,
Xenosaurus platyceps,0.01024,0.6526,0.95,38.24,0.002,0.8024,,,,,,,
Anguis fragilis,0.02748,0.64,0.95,36.24,0.002,0.8019,,,,,,,
Chamaeleo calyptratus,0.03783,0.8393,0.95,1795.0,0.002,0.7996,,,,,,,
Furcifer labordi,0.02665,0.8485,0.95,1000.0,0.002,0.8005,,,,,,,
Furcifer pardalis,0.01912,0.7272,0.95,156.7,0.002,0.8015,,,,,,,
Agama impalearis,0.01915,0.6572,0.95,394.1,0.002,0.8011,,,,,,,
Paralaudakia stoliczkana,0.04737,0.6895,0.95,16.37,0.002,0.7993,,,,,,,
Ctenophorus ornatus,0.01555,0.5823,0.95,93.36,0.002,0.804,,,,,,,
Ctenophorus adelaidensis,0.01718,0.9084,0.95,157.8,0.002,0.8007,,,,,,,
Moloch horridus,0.02072,0.4892,0.95,26.32,0.002,0.8017,,,,,,,
Pogona barbata,0.05011,0.9306,0.95,744.9,0.002,0.7997,,,,,,,
Calotes versicolor,0.01934,0.942,0.95,19.76,0.002,0.8007,,,,,,,
Anolis acutus,0.03702,0.5558,0.95,203.7,0.002,0.801,,,,,,,
Anolis carolinensis,0.02825,0.5538,0.95,27.27,0.002,0.8014,,,,,,,
Anolis gundlachi,0.02311,0.8121,0.95,126.6,0.002,0.8009,,,,,,,
Anolis nebulosus,0.02231,0.7757,0.95,82.56,0.002,0.8004,,,,,,,
Anolis opalinus,0.02152,0.6158,0.95,590.4,0.002,0.7989,,,,,,,
Anolis sagrei,0.03517,0.4754,0.95,169.1,0.002,0.8007,,,,,,,
Basiliscus basiliscus,0.01852,0.4747,0.95,31.65,0.002,0.8017,,,,,,,
Basiliscus plumifrons,0.01713,0.7276,0.95,19.03,0.002,0.8003,,,,,,,
Basiliscus vittatus,0.02175,0.9668,0.95,870.9,0.001975,0.8002,,,,,,,
Cyclura pinguis,0.05893,0.768,0.95,6.349,0.0002403,0.7901,0.3006,,,,,,
Dipsosaurus dorsalis,0.05355,0.6329,0.95,17.2,0.002,0.8013,,,,,,,
Iguana iguana,0.01989,0.741,0.95,35.98,0.002,0.8018,,,,,,,
Sauromalus ater,0.04195,0.3417,0.95,7.924,0.0006,0.7978,,,,,,,
Crotaphytus collaris,0.0783,0.9523,0.95,549.5,0.002004,0.801,,,,,,,
Gambelia sila,0.03112,0.8549,0.95,397.3,0.002,0.799,,,,,,,
Gambelia wislizenii,0.02504,0.2772,0.95,47.83,0.002,0.8016,,,,,,,
Callisaurus draconoides,0.03067,0.6134,0.95,318.7,0.002,0.7982,,,,,,,
Holbrookia maculata,0.01859,0.9052,0.95,521.4,0.002,0.8003,,,,,,,
Phrynosoma ditmarsi,0.02586,0.8254,0.95,126.7,0.002,0.8008,,,,,,,
Phrynosoma douglasii,0.02685,0.9674,0.95,105.5,0.002,0.801,,,,,,,
Sceloporus graciosus,0.04944,0.4933,0.95,409.3,0.002,0.8031,,,,,,,
Sceloporus grammicus,0.02147,0.7636,0.95,432.1,0.002,0.8001,,,,,,,
Sceloporus jarrovii,0.02305,0.5615,0.95,40.39,0.002,0.8018,,,,,,,
Sceloporus magister,0.02345,0.5209,0.95,26.13,0.002,0.8015,,,,,,,
Sceloporus occidentalis,0.01377,0.786,0.95,394.1,0.002,0.8064,,,,,,,
Sceloporus orcutti,0.0284,0.7219,0.95,231.0,0.002,0.8001,,,,,,,
Sceloporus spinosus,0.02038,0.9055,0.95,5298.0,0.002,0.8,,,,,,,
Sceloporus undulatus,0.01258,0.5574,0.95,217.9,0.002,0.8012,,,,,,,
Sceloporus virgatus,0.02391,0.8972,0.95,995.9,0.002,0.799,,,,,,,
Urosaurus bicarinatus,0.01983,0.7266,0.95,536.7,0.002,0.7999,,,,,,,
Uta stansburiana,0.02092,0.9401,0.95,2076.0,0.002,0.7999,,,,,,,
Phymaturus antofagastensis,0.0512,0.9169,0.95,20.6,0.002,0.8006,,,,,,,
Phymaturus patagonicus,0.01944,0.9417,0.95,14.35,0.0005671,0.8007,0.3098,,,,,,
Phymaturus punae,0.021,0.4622,0.95,23.35,0.001645,0.8003,,,,,,,
Phymaturus spurcus,0.02038,0.8397,0.95,19.69,0.002011,0.8004,,,,,,,
Liolaemus pictus,0.01985,0.7217,0.95,17.55,0.002,0.7999,,,,,,,
Liolaemus wiegmannii,0.02283,0.9081,0.95,3069.0,0.002,0.8,,,,,,,
Oplurus cuvieri,0.03462,0.8933,0.95,19.37,0.002,0.7996,,,,,,,
Tropidurus itambere,0.02725,0.45,0.95,68.07,0.002,0.8015,,,,,,,
Boa constrictor,0.0229,0.6216,0.95,45.88,0.002,0.8009,,,,,,,
Boa imperator,0.05657,0.6378,0.95,19.42,0.002,0.7999,,,,,,,
Eunectes murinus,0.02531,0.3439,0.95,14.97,0.0004436,0.7997,0.2325,,,,,,
Eunectes notaeus,0.02522,0.6251,0.95,25.33,0.002,0.801,,,,,,,
Eryx miliaris,0.01372,0.6175,0.95,69.58,0.002,0.8022,,,,,,,
Apodora papuana,0.008327,0.8269,0.95,15.79,0.0006105,0.7985,0.3039,,,,,,
Morelia spilota,0.05491,0.9487,0.95,44.13,0.002,0.7989,,,,,,,
Python regius,0.04643,0.8521,0.95,39.71,0.001961,0.8025,,,,,,,
Python sebae,0.04153,0.7397,0.95,26.13,0.002,0.8052,0.5965,,,,,,
Python molurus,0.08037,0.9638,0.95,42.58,0.002,0.809,0.3644,,,,,,
Simalia amethistina,0.01979,0.9608,0.95,661.4,0.002,0.7999,,,,,,,
Vipera aspis,0.0288,0.8768,0.95,81.63,0.002,0.8085,,,,,,,
Vipera berus,0.02759,0.5129,0.95,44.57,0.002,0.8017,,,,,,,
Vipera latastei,0.01816,0.823,0.95,13.32,0.0005083,0.799,0.2997,,,,,,
Daboia russelii,0.0363,0.8968,0.95,43.53,0.002,0.8047,,,,,,,
Bitis gabonica,0.02742,0.7291,0.95,25.76,0.0009862,0.801,0.2999,,,,,,
Bitis arietans,0.0296,0.8672,0.95,83.66,0.002,0.8009,,,,,,,
Agkistrodon piscivorus,0.06319,0.9923,0.95,852.5,0.002,0.8094,,,,,,,
Gloydius blomhoffii,0.02108,0.7525,0.95,23.43,0.002,0.8029,0.6672,,,,,,
Crotalus horridus,0.1049,0.5437,0.95,10.64,0.0003934,0.7983,0.2906,,,,,,
Crotalus lepidus,0.02238,0.8429,0.95,12.05,0.001,0.7985,,,,,,,
Crotalus oreganus,0.04947,0.4345,0.95,17.01,0.002,0.7994,,,,,,,
Crotalus pricei,0.02653,0.8462,0.95,20.83,0.0008389,0.8005,0.3158,,,,,,
Sistrurus catenatus,0.02051,0.799,0.95,18.36,0.002,0.8,,,,,,,
Sistrurus miliarius,0.01706,0.6849,0.95,19.3,0.002,0.8004,,,,,,,
Bothrops insularis,0.02041,0.9464,0.95,27.37,0.002,0.8012,,,,,,,
Cerberus rynchops,0.01511,0.9003,0.95,9.991,0.000382,0.7983,0.3006,,,,,,
Natrix natrix,0.02408,0.6446,0.95,28.91,0.002,0.8015,,,,,,,
Natrix maura,0.05775,0.5644,0.95,13.17,0.0004994,0.7986,0.2979,,,,,,
Nerodia harteri,0.02382,0.8333,0.95,145.9,0.001,0.8016,,,,,,,
Nerodia sipedon,0.03098,0.2655,0.95,15.93,0.001,0.7992,,,,,,,
Thamnophis butleri,0.05794,0.7772,0.95,195.5,0.002,0.802,,,,,,,
Thamnophis gigas,0.03515,0.5619,0.95,104.6,0.002,0.8015,,,,,,,
Thamnophis radix,0.03089,0.6183,0.95,98.37,0.002,0.8009,,,,,,,
Thamnophis saurita,0.01512,0.9302,0.95,46.83,0.002,0.8022,,,,,,,
Thamnophis sirtalis,0.02048,0.9421,0.95,93.3,0.002,0.8014,,,,,,,
Coluber constrictor,0.04558,0.9921,0.95,20.14,0.001,0.8,,,,,,,
Coronella austriaca,0.02359,0.5698,0.95,21.93,0.002,0.8004,,,,,,,
Orthriophis taeniurus,0.0274,0.6853,0.95,35.81,0.002,0.8025,,,,,,,
Elaphe climacophora,0.0201,0.676,0.95,18.16,0.002,0.8,,,,,,,
Hierophis viridiflavus,0.01871,0.5633,0.95,14.9,0.0005676,0.7994,0.299,,,,,,
Pantherophis guttatus,0.05836,0.8599,0.95,25.35,0.002,0.8009,,,,,,,
Rhabdophis tigrinus,0.02505,0.4482,0.95,15.68,0.001224,0.7916,0.6188,,,,,,
Spalerosophis diadema,0.06877,0.3174,0.95,7.152,0.0002764,0.7977,0.3041,,,,,,
Tantilla melanocephala,0.02021,0.8847,0.95,20.76,0.002,0.8005,,,,,,,
Heterodon nasicus,0.05043,0.9762,0.95,20.85,0.002,0.8008,,,,,,,
Heterodon platirhinos,0.06106,0.8905,0.95,23.56,0.002,0.801,,,,,,,
Boaedon fuliginosus,0.01614,0.5244,0.95,572.2,0.002,0.8005,,,,,,,
Psammophis sibilans,0.0194,0.9322,0.95,576.8,0.002,0.8003,,,,,,,
Psammophylax rhombeatus,0.0586,0.9235,0.95,16.49,2.416e-7,0.8022,,,,,,,
Acanthophis antarcticus,0.02055,0.9207,0.95,18.44,0.002,0.8,,,,,,,
Austrelaps superbus,0.02069,0.8589,0.95,17.69,0.002,0.7993,,,,,,,
Emydocephalus ijimae,0.02117,0.8815,0.95,134.1,0.002,0.801,,,,,,,
Hemiaspis damelii,0.02114,0.8489,0.95,18.82,0.002,0.8002,,,,,,,
Hemiaspis signata,0.02081,0.9217,0.95,19.79,0.002,0.8003,,,,,,,
Micrurus fulvius,0.08272,0.8788,0.95,19.17,0.002,0.8001,,,,,,,
Micrurus corallinus,0.03712,0.7556,0.95,20.6,0.002,0.8003,,,,,,,
Naja kaouthia,0.04896,0.9706,0.95,92.28,0.002,0.801,,,,,,,
Notechis scutatus,0.03031,0.9094,0.95,30.47,0.002,0.8014,,,,,,,
Parasuta gouldii,0.02515,0.7635,0.95,21.24,0.002,0.8006,,,,,,,
Pseudechis porphyriacus,0.01995,0.8453,0.95,18.27,0.0007003,0.8,0.3007,,,,,,
Vermicella annulata,0.01933,0.7033,0.95,16.24,0.001909,0.7994,,,,,,,
Pelomedusa subrufa,0.04423,0.6474,0.95,3.618,0.000139,0.7985,0.3019,,,,,,
Pelusios castanoides,0.0394,0.9737,0.95,55.91,0.002,0.8014,,,,,,,
Pelusios subniger,0.03082,0.9643,0.95,34.83,0.002,0.8015,,,,,,,
Podocnemis expansa,0.04709,0.9205,0.95,14.78,0.0005658,0.7979,0.3011,,,,,,
Podocnemis lewyana,0.05541,0.7222,0.95,15.69,0.0006206,0.7976,0.3113,,,,,,
Podocnemis unifilis,0.05719,0.8491,0.95,8.285,0.0003159,0.7984,0.2998,,,,,,
Chelus fimbriata,0.01396,0.8639,0.95,23.96,0.002,0.8012,,,,,,,
Rhinemys rufipes,0.01893,0.9675,0.95,16.81,0.001369,0.7998,,,,,,,
Chelodina oblonga,0.0157,0.8199,0.95,17.18,0.0006557,0.7999,0.2995,,,,,,
Elseya albagula,0.05396,0.7808,0.95,9.075,0.0003499,0.7966,0.3038,,,,,,
Elseya dentata,0.0123,0.8833,0.95,19.55,0.0006321,0.7994,0.2539,,,,,,
Elusor macrurus,0.03134,0.914,0.95,18.8,0.0007371,0.7994,0.3079,,,,,,
Emydura macquarii,0.06046,0.7362,0.95,16.4,0.0006022,0.7987,0.2885,,,,,,
Emydura victoriae,0.02351,0.881,0.95,121.0,0.002,0.8009,,,,,,,
Myuchelys bellii,0.04486,0.7979,0.95,24.96,0.002,0.7998,,,,,,,
Hydromedusa maximiliani,0.01558,0.826,0.95,12.41,0.0004739,0.7988,0.3001,,,,,,
Pseudemydura umbrina,0.02572,0.6486,0.95,18.94,0.00199,0.757,0.8712,,,,,,
Carettochelys insculpta,0.07542,0.7822,0.95,1.894,7.219e-5,0.7868,0.304,,,,,,
Apalone mutica,0.07202,0.5131,0.95,18.65,0.002,0.8004,,,,,,,
Apalone spinifera,0.08446,0.9288,0.95,9.305,0.0003415,0.8089,0.2847,,,,,,
Pelodiscus sinensis,0.03864,0.93,0.95,54.62,0.002,0.8092,,,,,,,
Trionyx triunguis,0.03634,0.4714,0.95,17.11,0.002195,0.7917,0.7134,,,,,,
Chelydra serpentina,0.06816,0.8881,0.95,3.573,0.0001377,0.7986,0.3028,,,,,,
Macrochelys temminckii,0.009558,0.9845,0.95,25.77,0.002,0.8019,0.6073,,,,,,
Dermatemys mawii,0.0126,0.7996,0.95,31.38,0.002,0.8022,,,,,,,
Claudius angustatus,0.0438,0.8675,0.95,6.368,0.0002453,0.7981,0.303,,,,,,
Kinosternon flavescens,0.01018,0.6466,0.95,10.87,0.0004093,0.7971,0.2965,,,,,,
Kinosternon hirtipes,0.02012,0.8095,0.95,22.64,0.001852,0.801,,,,,,,
Kinosternon scorpioides,0.0152,0.5615,0.95,17.27,0.002,0.7999,,,,,,,
Kinosternon sonoriense,0.01988,0.8962,0.95,17.88,0.002,0.7999,,,,,,,
Kinosternon subrubrum,0.01235,0.7871,0.95,18.95,0.001989,0.8005,,,,,,,
Sternotherus depressus,0.02191,0.9112,0.95,8.676,0.0003184,0.7674,0.3002,,,,,,
Sternotherus minor,0.03251,0.6954,0.95,9.876,0.0003695,0.7988,0.2939,,,,,,
Sternotherus odoratus,0.02348,0.8905,0.95,13.79,0.0005277,0.7988,0.3007,,,,,,
Dermochelys coriacea,0.06278,0.2502,0.95,34.97,0.002,0.7976,,,,,,,
Caretta caretta,0.06807,0.7286,0.95,11.2,0.001123,0.8,0.7343,,,747.3,1.704,10980.0,
Caretta caretta MED,0.07214,0.7334,0.95,13.5,0.001523,0.8,0.8256,,,895.0,1.926,12410.0,
Lepidochelys kempii,0.04241,0.6929,0.95,20.17,0.002,0.8004,,,,,,,
Lepidochelys olivacea,0.05756,0.8943,0.95,32.38,0.002,0.8534,,,,,,,
Natator depressus,0.1262,0.8459,0.95,18.38,0.001765,0.803,0.7507,,,,,,
Chelonia mydas,0.1057,0.7245,0.95,12.14,0.001081,0.8,0.6984,,,,,,
Eretmochelys imbricata,0.04376,0.9181,0.95,59.45,0.002335,0.8012,0.3078,,,,,,
Platysternon megacephalum,0.03928,0.8901,0.95,16.31,0.0006231,0.7992,0.3,,,,,,
Actinemys marmorata,0.0314,0.7366,0.95,45.23,0.002,0.8017,,,,,,,
Clemmys guttata,0.02692,0.7618,0.95,11.3,0.001018,0.7981,,,,,,,
Emydoidea blandingii,0.04143,0.9023,0.95,14.61,0.0005578,0.7986,0.3002,,,,,,
Emys orbicularis,0.02056,0.9679,0.95,24.28,0.002,0.8011,,,,,,,
Glyptemys insculpta,0.06502,0.8022,0.95,15.25,0.001316,0.7979,0.6792,,,,,,
Glyptemys muhlenbergii,0.1139,0.8468,0.95,19.0,0.0007646,0.8002,0.3157,,,,,,
